player,pos,sleeper,underdog,espn,ffc
Elic Ayomanor,WR,199.8,215.7,170.0,
De'Zhaun Stribling,WR,202.4,143.0,168.9,162.0
Tank Dell,WR,206.7,183.7,168.8,140.3
Tre Tucker,WR,207.2,156.6,167.9,132.7
Jaylin Noel,WR,213.7,215.1,171.5,
Marvin Mims Jr.,WR,219.5,215.8,170.1,
Germie Bernard,WR,220.8,194.8,170.4,
Darnell Mooney,WR,221.1,201.4,170.6,
Kyle Williams,WR,222.1,,169.9,
Pat Bryant,WR,222.5,202.8,171.5,
Ted Hurst III,WR,223.5,205.6,170.2,
Ryan Flournoy,WR,227.6,163.1,170.0,
Calvin Ridley,WR,227.7,188.7,167.1,118.5
Tory Horton,WR,228.7,212.5,171.2,
Elijah Sarratt,WR,229.2,210.9,170.1,
Chimere Dike,WR,229.4,215.8,171.1,
Chris Bell,WR,231.4,215.1,171.2,
Rashod Bateman,WR,232.7,202.8,171.0,131.1
Keenan Allen,WR,233.2,206.6,170.0,
Keon Coleman,WR,234.8,211.0,170.1,
Cooper Kupp,WR,235.2,209.1,169.0,150.9
Jack Bech,WR,238.2,215.4,171.6,
Devaughn Vele,WR,239.8,214.9,171.3,
Christian Kirk,WR,241.7,215.1,171.1,
Malachi Fields,WR,242.4,214.4,169.9,
Malik Washington,WR,,180.1,170.1,
Dontayvion Wicks,WR,,186.9,170.7,
Cyrus Allen,WR,,201.3,169.6,
Tyquan Thornton,WR,,210.8,170.1,
Caleb Douglas,WR,,214.0,170.3,
Xavier Legette,WR,,214.9,170.9,
Andrei Iosivas,WR,,215.2,170.3,
Skyler Bell,WR,,215.5,169.9,
Zavion Thomas,WR,,215.6,169.9,
Darius Slayton,WR,,215.6,170.1,
Jahan Dotson,WR,,215.6,170.1,
Jalen Tolbert,WR,,215.6,170.4,
Joshua Palmer,WR,,215.8,169.8,
Brenen Thompson,WR,,215.8,169.9,
Roman Wilson,WR,,215.8,169.9,
Tez Johnson,WR,,215.8,169.9,
Tutu Atwell,WR,,215.8,170.0,
Odell Beckham Jr.,WR,,215.9,169.2,
KaVontae Turpin,WR,,215.9,169.8,
Devontez Walker,WR,,215.9,169.9,
DeMario Douglas,WR,,215.9,169.9,
Kalif Raymond,WR,,215.9,169.9,
Luke McCaffrey,WR,,215.9,169.9,
Mack Hollins,WR,,215.9,169.9,
Jimmy Horn Jr.,WR,,215.9,169.9,
Greg Dortch,WR,,215.9,169.9,
John Metchie III,WR,,215.9,170.0,117.8
Hollywood Brown,WR,,215.9,170.0,
Kendrick Bourne,WR,,215.9,170.0,
Isaiah Bond,WR,,215.9,170.0,
Malik Benson,WR,,215.9,170.0,
Chris Brazzell II,WR,,215.9,170.0,
Treylon Burks,WR,,215.9,170.1,
Savion Williams,WR,,215.9,170.1,
Ricky Pearsall,WR,,,168.2,113.2
Bryce Lance,WR,,,169.9,
Jordan Whittington,WR,,,169.9,
Konata Mumpfield,WR,,,169.9,
KeAndre Lambert-Smith,WR,,,169.9,
Mitchell Tinsley,WR,,,169.9,
Jalen Royals,WR,,,169.9,
Bo Melton,WR,,,169.9,
Ben Skowronek,WR,,,169.9,
Xavier Smith,WR,,,169.9,
Colbie Young,WR,,,169.9,
CJ Daniels,WR,,,169.9,
Tai Felton,WR,,,169.9,
Jahdae Walker,WR,,,169.9,
Jonathan Mingo,WR,,,169.9,
Cedric Tillman,WR,,,169.9,
Myles Price,WR,,,169.9,
JuJu Smith-Schuster,WR,,,169.9,
Efton Chism III,WR,,,169.9,
Skyy Moore,WR,,,169.9,
Lil'Jordan Humphrey,WR,,,169.9,
Jake Bobo,WR,,,169.9,
Kadarius Toney,WR,,,169.9,
Jakobie Keeney-James,WR,,,169.9,
Dont'e Thornton Jr.,WR,,,169.9,
Charlie Jones,WR,,,169.9,
Theo Wease Jr.,WR,,,170.0,129.6
Calvin Austin III,WR,,,170.0,
Cedrick Wilson Jr.,WR,,,170.0,
Jaylin Lane,WR,,,170.0,
Ashton Dulin,WR,,,170.0,
Kevin Coleman Jr.,WR,,,170.0,
Xavier Hutchinson,WR,,,170.0,
Anthony Gould,WR,,,170.0,
Isaiah Williams,WR,,,170.0,
Derius Davis,WR,,,170.0,
Tyrell Shavers,WR,,,170.0,
Barion Brown,WR,,,170.0,
Malachi Corley,WR,,,170.0,
Justin Watson,WR,,,170.0,
Darius Cooper,WR,,,170.0,
Laquon Treadwell,WR,,,170.0,
Brycen Tremayne,WR,,,170.0,
Reggie Virgil,WR,,,170.0,
Kaden Wetjen,WR,,,170.0,
Kameron Johnson,WR,,,170.0,
Arian Smith,WR,,,170.0,
Braxton Berrios,WR,,,170.0,
LaJohntay Wester,WR,,,170.0,
Britain Covey,WR,,,170.0,
Nikko Remigio,WR,,,170.0,
Jacob Cowing,WR,,,170.0,
Ke'Shawn Williams,WR,,,170.0,
Devin Duvernay,WR,,,170.0,
Gage Larvadain,WR,,,170.0,
Mason Tipton,WR,,,170.0,
Dareke Young,WR,,,170.0,
Josh Cameron,WR,,,170.0,
Jalen Brooks,WR,,,170.0,
Michael Bandy,WR,,,170.0,
Jeshaun Jones,WR,,,170.0,
Mason Kinsey,WR,,,170.0,
Chris Moore,WR,,,170.0,
Demarcus Robinson,WR,,,170.0,
Trent Sherfield,WR,,,170.0,
River Cracraft,WR,,,170.0,
Malik Turner,WR,,,170.0,
Phillip Dorsett II,WR,,,170.0,
Scotty Miller,WR,,,170.0,
Mecole Hardman Jr.,WR,,,170.0,
David Moore,WR,,,170.0,
Tim Patrick,WR,,,170.0,
Marquez Valdes-Scantling,WR,,,170.0,
Gunner Olszewski,WR,,,170.0,
Tom Kennedy,WR,,,170.0,
Jalen Reagor,WR,,,170.0,
Tyler Johnson,WR,,,170.0,
Van Jefferson,WR,,,170.0,
Quez Watkins,WR,,,170.0,
K.J. Osborn,WR,,,170.0,
Isaiah Hodgins,WR,,,170.0,
Dan Chisena,WR,,,170.0,
Elijah Moore,WR,,,170.0,
Terrace Marshall Jr.,WR,,,170.0,
Ihmir Smith-Marsette,WR,,,170.0,
Tylan Wallace,WR,,,170.0,
Simi Fehoko,WR,,,170.0,
Cody White,WR,,,170.0,
David Sills V,WR,,,170.0,
Danny Gray,WR,,,170.0,
Erik Ezukanma,WR,,,170.0,
Samori Toure,WR,,,170.0,
Brandon Smith,WR,,,170.0,
Deven Thompkins,WR,,,170.0,
DJ Turner,WR,,,170.0,
Tim Jones,WR,,,170.0,
Jalen Virgil,WR,,,170.0,
Kendric Pryor,WR,,,170.0,
Austin Trammell,WR,,,170.0,
Dennis Houston,WR,,,170.0,
Brandon Johnson,WR,,,170.0,
Tay Martin,WR,,,170.0,
Maurice Alexander,WR,,,170.0,
Jalin Hyatt,WR,,,170.0,
Justin Shorter,WR,,,170.0,
Tyler Scott,WR,,,170.0,
Ronnie Bell,WR,,,170.0,
Trey Palmer,WR,,,170.0,
A.T. Perry,WR,,,170.0,
Colton Dowell,WR,,,170.0,
Jason Brownlee,WR,,,170.0,
Malik Cunningham,WR,,,170.0,
Xavier Gipson,WR,,,170.0,
Irv Charles,WR,,,170.0,
Shedrick Jackson,WR,,,170.0,
Ryan Miller,WR,,,170.0,
Chris Blair,WR,,,170.0,
Dylan Drummond,WR,,,170.0,
Ja'Lynn Polk,WR,,,170.0,
Brenden Rice,WR,,,170.0,
Bub Means,WR,,,170.0,
Casey Washington,WR,,,170.0,
Cornelius Johnson,WR,,,170.0,
Jamari Thrash,WR,,,170.0,
Ainias Smith,WR,,,170.0,
Jha'Quan Jackson,WR,,,170.0,
Tahj Washington,WR,,,170.0,
Tejhaun Palmer,WR,,,170.0,
Johnny Wilson,WR,,,170.0,
Xavier Weaver,WR,,,170.0,
Bryce Oliver,WR,,,170.0,
Kaden Davis,WR,,,170.0,
Kevin Austin Jr.,WR,,,170.0,
Jalen Moreno-Cropper,WR,,,170.0,
Jared Wayne,WR,,,170.0,
Jordan Watkins,WR,,,170.0,
Ricky White III,WR,,,170.0,
Dominic Lovett,WR,,,170.0,
Junior Bergen,WR,,,170.0,
Nick Nash,WR,,,170.0,
Xavier Restrepo,WR,,,170.0,
Isaiah Neyor,WR,,,170.0,
Chandler Brayboy,WR,,,170.0,
Beaux Collins,WR,,,170.0,
Dalen Cambre,WR,,,170.0,
Quentin Skinner,WR,,,170.0,
Jacoby Jones,WR,,,170.0,
Jimmy Holiday,WR,,,170.0,
Coleman Owen,WR,,,170.0,
Brennan Presley,WR,,,170.0,
Dalevon Campbell,WR,,,170.0,
CJ Williams,WR,,,170.0,
Kendrick Law,WR,,,170.0,
Deion Burks,WR,,,170.0,
Lewis Bond,WR,,,170.0,
Anthony Smith,WR,,,170.0,
Emmanuel Henderson Jr.,WR,,,170.0,
Jamal Agnew,WR,,,170.0,
Noah Brown,WR,,,170.0,
Brandon Powell,WR,,,170.0,
Zach Pascal,WR,,,170.0,
Ray-Ray McCloud III,WR,,,170.0,
Russell Gage Jr.,WR,,,170.0,
Trent Taylor,WR,,,170.0,
DeAndre Carter,WR,,,170.0,
Alex Erickson,WR,,,170.0,
KhaDarel Hodge,WR,,,170.0,
Allen Lazard,WR,,,170.0,
Hunter Renfrow,WR,,,170.0,
Josh Reynolds,WR,,,170.0,
Equanimeous St. Brown,WR,,,170.0,
Parris Campbell,WR,,,170.0,
Diontae Johnson,WR,,,170.0,
Dante Pettis,WR,,,170.0,
DJ Chark,WR,,,170.0,
Curtis Samuel,WR,,,170.0,
Zay Jones,WR,,,170.0,
Mike Williams,WR,,,170.0,
Tyler Boyd,WR,,,170.0,
Tyler Lockett,WR,,,170.0,
Chris Conley,WR,,,170.0,
Amari Cooper,WR,,,170.0,
Sterling Shepard,WR,,,170.0,
Jamison Crowder,WR,,,170.0,
Robbie Chosen,WR,,,170.0,
DeAndre Hopkins,WR,,,170.0,
Allen Robinson,WR,,,170.0,
Brandin Cooks,WR,,,170.0,
Robert Woods,WR,,,170.0,
Adam Thielen,WR,,,170.0,
Steven Sims,WR,,,170.0,
Deonte Harty,WR,,,170.0,
Trenton Irwin,WR,,,170.0,
Laviska Shenault Jr.,WR,,,170.0,
Gabe Davis,WR,,,170.0,
Collin Johnson,WR,,,170.0,
James Proche II,WR,,,170.0,
Marquez Callaway,WR,,,170.0,
Trishton Jackson,WR,,,170.0,
Tony Brown,WR,,,170.0,
Kristian Wilkerson,WR,,,170.0,
Dee Eskridge,WR,,,170.0,
Dez Fitzpatrick,WR,,,170.0,
Jaelon Darden,WR,,,170.0,
D.J. Montgomery,WR,,,170.0,
Cody Thompson,WR,,,170.0,
David Bell,WR,,,170.0,
Michael Woods II,WR,,,170.0,
Montrell Washington,WR,,,170.0,
Justyn Ross,WR,,,170.0,
Andre Baccellia,WR,,,170.0,
Grant DuBose,WR,,,170.0,
Antoine Green,WR,,,170.0,
Joseph Ngata,WR,,,170.0,
Rakim Jarrett,WR,,,170.0,
Malik Heath,WR,,,170.0,
Chase Cota,WR,,,170.0,
Elijah Cooks,WR,,,170.0,
Kearis Jackson,WR,,,170.0,
Terrell Bynum,WR,,,170.0,
Jermaine Burton,WR,,,170.0,
Javon Baker,WR,,,170.0,
Bryce Ford-Wheaton,WR,,,170.0,
Ramel Keyton,WR,,,170.0,
Tyreik McAllister,WR,,,170.0,
Alex Bachman,WR,,,170.0,
Joshua Cephus,WR,,,170.0,
Jaylen Johnson,WR,,,170.0,
Anthony Miller,WR,,,170.0,
Jermaine Jackson,WR,,,170.0,
John Ross,WR,,,170.0,
Tommy Mellott,WR,,,170.0,
Kaden Prather,WR,,,170.0,
Ja'Corey Brooks,WR,,,170.0,
Nick Westbrook-Ikhine,WR,,,170.0,
Nelson Agholor,WR,,,170.0,
Olamide Zaccheaus,WR,,,170.1,
Dyami Brown,WR,,,170.2,
