player,pos,sleeper,underdog,espn,ffc
TreVeyon Henderson,RB,47.8,53.9,69.9,56.0
Cam Skattebo,RB,48.7,43.4,42.5,32.4
Quinshon Judkins,RB,55.0,53.7,53.7,46.9
David Montgomery,RB,56.3,48.5,74.3,61.6
Bhayshul Tuten,RB,60.4,49.7,78.1,50.1
D'Andre Swift,RB,65.1,49.6,72.1,43.3
RJ Harvey,RB,68.4,86.6,127.2,90.6
Jaylen Warren,RB,74.8,71.5,103.4,76.1
Chuba Hubbard,RB,74.9,84.5,113.0,75.7
Jadarian Price,RB,80.3,62.2,79.8,58.7
Rhamondre Stevenson,RB,82.7,75.2,112.0,73.2
Tony Pollard,RB,85.6,75.6,89.2,66.5
Rico Dowdle,RB,88.1,87.7,108.6,71.8
Kyle Monangai,RB,89.5,97.0,132.5,98.5
J.K. Dobbins,RB,92.5,98.4,122.8,83.8
Blake Corum,RB,98.3,90.7,138.9,114.2
Kenny Gainwell,RB,106.9,106.9,121.7,102.6
Aaron Jones Sr.,RB,108.8,123.4,122.1,89.9
Jacory Croskey-Merritt,RB,114.9,116.6,141.7,109.5
Brian Robinson Jr.,RB,123.8,176.7,167.3,146.3
Zach Charbonnet,RB,125.8,161.6,149.1,129.7
Rachaad White,RB,127.2,109.1,126.0,100.9
Jordan Mason,RB,130.5,110.1,156.1,119.2
Tyler Allgeier,RB,132.5,155.1,169.4,159.6
Jonathon Brooks,RB,138.0,90.4,127.5,122.9
Woody Marks,RB,141.2,141.5,150.6,143.7
Chris Rodriguez Jr.,RB,141.6,129.6,169.1,170.8
Jonah Coleman,RB,145.0,160.2,170.3,
Tyrone Tracy Jr.,RB,145.3,134.4,167.4,155.8
Emmett Johnson,RB,149.7,198.5,170.0,
Tyjae Spears,RB,151.9,153.5,168.6,139.6
James Conner,RB,152.2,214.6,170.2,
Alvin Kamara,RB,157.7,163.6,156.4,142.6
Keaton Mitchell,RB,164.9,134.0,170.8,157.2
Dylan Sampson,RB,166.4,171.9,171.0,
Isiah Pacheco,RB,167.2,152.2,157.7,143.5
Braelon Allen,RB,174.1,213.2,170.5,
Mike Washington Jr.,RB,179.1,197.8,170.3,168.3
Kimani Vidal,RB,181.1,212.9,170.3,
Kaytron Allen,RB,181.2,205.5,170.3,
Trey Benson,RB,182.2,,169.9,
Tank Bigsby,RB,187.7,158.7,168.1,152.4
Sean Tucker,RB,192.8,192.9,170.2,
Emanuel Wilson,RB,203.3,215.9,170.3,
Joe Mixon,RB,204.6,,170.0,
Ray Davis,RB,208.6,188.0,171.0,
Devin Neal,RB,211.9,,170.0,
Najee Harris,RB,212.3,215.9,170.0,
Jaylen Wright,RB,215.1,215.5,170.2,
Kaleb Johnson,RB,217.5,,170.0,
Demond Claiborne,RB,218.3,214.3,170.3,
Kendre Miller,RB,224.8,,170.1,
Brashard Smith,RB,226.3,,170.1,
Jaydon Blue,RB,236.6,179.4,170.0,
Audric Estime,RB,237.4,,170.0,
Jarquez Hunter,RB,240.6,,170.0,
MarShawn Lloyd,RB,,187.6,171.0,
Kaelon Black,RB,,203.5,170.2,
Nicholas Singleton,RB,,209.0,170.2,
George Holani,RB,,212.6,170.2,
Justice Hill,RB,,213.9,170.8,
Jordan James,RB,,214.3,170.6,
Ollie Gordon II,RB,,215.5,170.3,
Samaje Perine,RB,,215.5,170.8,
Ty Johnson,RB,,215.7,170.3,
Isaiah Davis,RB,,215.8,170.2,
LeQuint Allen Jr.,RB,,215.8,170.3,
Adam Randall,RB,,215.8,170.3,
Sione Vaki,RB,,215.9,169.9,
Malik Davis,RB,,215.9,170.0,
Khalil Herbert,RB,,215.9,170.0,
Seth McGowan,RB,,215.9,170.1,
Emari Demercado,RB,,215.9,170.2,
Josh Williams,RB,,,169.9,
Frank Gore Jr.,RB,,,169.9,
Nick Chubb,RB,,,169.9,
Jermar Jefferson,RB,,,169.9,
Roschon Johnson,RB,,,169.9,
Hunter Luepke,RB,,,170.0,
Reggie Gilliam,RB,,,170.0,
Eli Heidenreich,RB,,,170.0,
Will Shipley,RB,,,170.0,
Rasheen Ali,RB,,,170.0,
Jacob Saylors,RB,,,170.0,
DeeJay Dallas,RB,,,170.0,
Kyle Juszczyk,RB,,,170.0,
Alec Ingold,RB,,,170.0,
Adam Prentice,RB,,,170.0,
Connor Heyward,RB,,,170.0,
Michael Burton,RB,,,170.0,
Max Bredeson,RB,,,170.0,
Andrew Beck,RB,,,170.0,
Riley Nowakowski,RB,,,170.0,
Patrick Ricard,RB,,,170.0,
British Brooks,RB,,,170.0,
Jeremy McNichols,RB,,,170.0,
Ameer Abdullah,RB,,,170.0,
Travis Homer,RB,,,170.0,
AJ Dillon,RB,,,170.0,
Salvon Ahmed,RB,,,170.0,
Michael Carter,RB,,,170.0,
Elijah Mitchell,RB,,,170.0,
Gary Brightwell,RB,,,170.0,
Jaret Patterson,RB,,,170.0,
Patrick Taylor Jr.,RB,,,170.0,
Velus Jones Jr.,RB,,,170.0,
Dameon Pierce,RB,,,170.0,
Pierre Strong Jr.,RB,,,170.0,
Ty Chandler,RB,,,170.0,
Jerome Ford,RB,,,170.0,
Brittain Brown,RB,,,170.0,
Julius Chestnut,RB,,,170.0,
Ronnie Rivers,RB,,,170.0,
Evan Hull,RB,,,170.0,
Israel Abanikanda,RB,,,170.0,
Eric Gray,RB,,,170.0,
Lew Nichols,RB,,,170.0,
Scott Matlock,RB,,,170.0,
Jaleel McLaughlin,RB,,,170.0,
Ben VanSumeren,RB,,,170.0,
Brady Russell,RB,,,170.0,
Tyler Goodson,RB,,,170.0,
Jordan Mims,RB,,,170.0,
Dante Miller,RB,,,170.0,
Carson Steele,RB,,,170.0,
Cody Schrader,RB,,,170.0,
Sincere McCormick,RB,,,170.0,
Terrell Jennings,RB,,,170.0,
Kendall Milton,RB,,,170.0,
Carlos Washington Jr.,RB,,,170.0,
Chris Collier,RB,,,170.0,
Jack Westover,RB,,,170.0,
Kalel Mullings,RB,,,170.0,
Phil Mafah,RB,,,170.0,
Damien Martinez,RB,,,170.0,
Robbie Ouzts,RB,,,170.0,
Donovan Edwards,RB,,,170.0,
Corey Kiner,RB,,,170.0,
Raheim Sanders,RB,,,170.0,
Lan Larison,RB,,,170.0,
Nathan Carter,RB,,,170.0,
Zavier Scott,RB,,,170.0,
Amar Johnson,RB,,,170.0,
Jacardia Wright,RB,,,170.0,
Ulysses Bentley IV,RB,,,170.0,
Jam Miller,RB,,,170.0,
C.J. Ham,RB,,,170.0,
Dare Ogunbowale,RB,,,170.0,
Cordarrelle Patterson,RB,,,170.0,
Trayveon Williams,RB,,,170.0,
John Kelly Jr.,RB,,,170.0,
Jeff Wilson Jr.,RB,,,170.0,
Raheem Mostert,RB,,,170.0,
Myles Gaskin,RB,,,170.0,
Miles Sanders,RB,,,170.0,
Nyheim Hines,RB,,,170.0,
Alexander Mattison,RB,,,170.0,
Dalvin Cook,RB,,,170.0,
Chase Edmonds,RB,,,170.0,
Mike Boone,RB,,,170.0,
D'Onta Foreman,RB,,,170.0,
Kareem Hunt,RB,,,170.0,
Austin Ekeler,RB,,,170.0,
Ezekiel Elliott,RB,,,170.0,
Gus Edwards,RB,,,170.0,
Jamaal Williams,RB,,,170.0,
D'Ernest Johnson,RB,,,170.0,
Khari Blasingame,RB,,,170.0,
Jakob Johnson,RB,,,170.0,
Craig Reynolds,RB,,,170.0,
Clyde Edwards-Helaire,RB,,,170.0,
Cam Akers,RB,,,170.0,
Ke'Shawn Vaughn,RB,,,170.0,
Zack Moss,RB,,,170.0,
Darrynton Evans,RB,,,170.0,
Joshua Kelley,RB,,,170.0,
Antonio Gibson,RB,,,170.0,
JaMycal Hasty,RB,,,170.0,
J.J. Taylor,RB,,,170.0,
Jonathan Ward,RB,,,170.0,
Tony Jones Jr.,RB,,,170.0,
Trey Sermon,RB,,,170.0,
Avery Williams,RB,,,170.0,
Josh Johnson,RB,,,170.0,
Hassan Haskins,RB,,,170.0,
Zamir White,RB,,,170.0,
Tyrion Davis-Price,RB,,,170.0,
Keaontay Ingram,RB,,,170.0,
Raheem Blackshear,RB,,,170.0,
Troy Hairston,RB,,,170.0,
Deuce Vaughn,RB,,,170.0,
Zach Evans,RB,,,170.0,
Kenny McIntosh,RB,,,170.0,
DeWayne McBride,RB,,,170.0,
Deneric Prince,RB,,,170.0,
Mohamed Ibrahim,RB,,,170.0,
Elijah Dotson,RB,,,170.0,
Xazavian Valladay,RB,,,170.0,
Ellis Merriweather,RB,,,170.0,
Owen Wright,RB,,,170.0,
SaRodorick Thompson Jr.,RB,,,170.0,
Jase McClellan,RB,,,170.0,
Keilan Robinson,RB,,,170.0,
Louis Rees-Zammit,RB,,,170.0,
Blake Watson,RB,,,170.0,
Michael Wiley,RB,,,170.0,
Aaron Shampklin,RB,,,170.0,
D.J. Williams,RB,,,170.0,
Jacob Kibodi,RB,,,170.0,
Chris Brooks,RB,,,170.1,
DJ Giddens,RB,,,170.1,
Devin Singletary,RB,,,170.1,
Tyler Badie,RB,,,170.1,
Tahj Brooks,RB,,,170.1,
Trevor Etienne,RB,,,170.1,
Jawhar Jordan,RB,,,170.1,
Kene Nwangwu,RB,,,170.1,
Isaac Guerendo,RB,,,170.1,
Bam Knight,RB,,,170.1,
Dylan Laube,RB,,,170.1,
Trey McBride,TE,18.7,29.1,19.2,43.6
Brock Bowers,TE,20.2,19.6,23.5,45.7
Colston Loveland,TE,41.2,45.8,45.5,65.9
Tyler Warren,TE,50.1,64.1,47.1,71.7
Harold Fannin Jr.,TE,62.6,102.3,76.2,82.2
Tucker Kraft,TE,67.3,79.2,99.3,113.5
Kyle Pitts Sr.,TE,71.3,103.7,65.9,81.9
Sam LaPorta,TE,76.4,91.7,67.4,94.6
Oronde Gadsden,TE,94.7,153.1,169.4,
Dalton Kincaid,TE,97.1,126.4,136.5,152.4
George Kittle,TE,97.4,114.8,96.1,132.2
Jake Ferguson,TE,104.0,131.8,112.1,154.4
Hunter Henry,TE,106.2,152.8,142.2,136.9
Travis Kelce,TE,107.1,121.4,102.2,113.9
Dallas Goedert,TE,109.1,134.7,102.2,101.5
Mark Andrews,TE,110.7,126.4,122.7,128.7
Isaiah Likely,TE,117.3,127.8,128.6,135.5
Kenyon Sadiq,TE,118.2,164.1,133.8,159.0
Brenton Strange,TE,128.8,149.7,167.1,159.4
Juwan Johnson,TE,135.3,156.4,163.5,165.6
Dalton Schultz,TE,137.0,168.3,167.4,
T.J. Hockenson,TE,141.2,170.5,133.1,
Chig Okonkwo,TE,146.2,139.6,168.5,
Terrance Ferguson,TE,158.7,180.1,167.0,
Cade Otton,TE,162.7,189.7,170.6,
David Njoku,TE,172.4,212.8,169.8,
Eli Stowers,TE,173.9,211.0,170.0,
Jake Tonges,TE,191.4,214.4,171.0,135.6
Colby Parkinson,TE,200.2,210.8,171.2,
Gunnar Helm,TE,200.8,181.2,170.2,
Mason Taylor,TE,224.3,215.7,169.9,
Theo Johnson,TE,232.2,215.7,170.4,
Max Klare,TE,248.8,,170.0,
Greg Dulcich,TE,,179.1,170.5,
Pat Freiermuth,TE,,194.0,169.0,
Mike Gesicki,TE,,207.7,170.8,
Evan Engram,TE,,212.1,170.7,
Charlie Kolar,TE,,214.6,170.0,
Darnell Washington,TE,,215.0,169.6,
Michael Mayer,TE,,215.1,170.1,
Eli Raridon,TE,,215.3,169.9,
Erick All Jr.,TE,,215.5,169.9,
Cole Kmet,TE,,215.8,169.7,
Dawson Knox,TE,,215.8,169.8,
Elijah Arroyo,TE,,215.8,169.9,
Mitchell Evans,TE,,215.9,170.0,
Ja'Tavion Sanders,TE,,215.9,170.0,
Oscar Delp,TE,,215.9,170.0,
AJ Barner,TE,,,168.5,
Tyler Higbee,TE,,,169.9,
Tommy Tremble,TE,,,169.9,
Noah Gray,TE,,,169.9,
Elijah Higgins,TE,,,169.9,
Josh Oliver,TE,,,169.9,
Adam Trautman,TE,,,169.9,
Luke Schoonmaker,TE,,,169.9,
Jackson Hawes,TE,,,169.9,
Jeremy Ruckert,TE,,,169.9,
Luke Musgrave,TE,,,169.9,
Brock Wright,TE,,,169.9,
Joe Royer,TE,,,169.9,
Brevyn Spann-Ford,TE,,,169.9,
Sam Roush,TE,,,169.9,
John Samuel Shenker,TE,,,169.9,
Sal Cannella,TE,,,169.9,
Daniel Bellinger,TE,,,169.9,
Josh Whyle,TE,,,170.0,
Michael Trigg,TE,,,170.0,
Noah Fant,TE,,,170.0,
Austin Hooper,TE,,,170.0,
Will Kacmarek,TE,,,170.0,
Drew Sample,TE,,,170.0,
Cade Stover,TE,,,170.0,
John Bates,TE,,,170.0,
Tanner Hudson,TE,,,170.0,
Mo Alie-Cox,TE,,,170.0,
Ben Sinnott,TE,,,170.0,
Durham Smythe,TE,,,170.0,
Davis Allen,TE,,,170.0,
Foster Moreau,TE,,,170.0,
Nate Adkins,TE,,,170.0,
Nate Boerkircher,TE,,,170.0,
Payne Durham,TE,,,170.0,
Ben Sims,TE,,,170.0,
Luke Farrell,TE,,,170.0,
Justin Joly,TE,,,170.0,
CJ Dippre,TE,,,170.0,
Tanner Koziol,TE,,,170.0,
Ko Kieft,TE,,,170.0,
Tyler Conklin,TE,,,170.0,
Marlin Klein,TE,,,170.0,
Drew Ogletree,TE,,,170.0,
Matthew Hibner,TE,,,170.0,
Josh Cuevas,TE,,,170.0,
Eric Saubert,TE,,,170.0,
Tip Reiman,TE,,,170.0,
Ian Thomas,TE,,,170.0,
Charlie Woerner,TE,,,170.0,
Johnny Mundt,TE,,,170.0,
Jack Stoll,TE,,,170.0,
Chris Manhertz,TE,,,170.0,
Robert Tonyan,TE,,,170.0,
Nick Vannett,TE,,,170.0,
Stephen Carlson,TE,,,170.0,
Josiah Deguara,TE,,,170.0,
Albert Okwuegbunam Jr.,TE,,,170.0,
Sean McKeon,TE,,,170.0,
Lawrence Cager,TE,,,170.0,
Hunter Long,TE,,,170.0,
Brevin Jordan,TE,,,170.0,
Kylen Granson,TE,,,170.0,
Feleipe Franks,TE,,,170.0,
Kenny Yeboah,TE,,,170.0,
Shane Zylstra,TE,,,170.0,
Jelani Woods,TE,,,170.0,
Grant Calcaterra,TE,,,170.0,
Teagan Quitoriano,TE,,,170.0,
Cole Turner,TE,,,170.0,
James Mitchell,TE,,,170.0,
Quintin Morris,TE,,,170.0,
Tanner Conner,TE,,,170.0,
Nikola Kalinic,TE,,,170.0,
Lucas Krull,TE,,,170.0,
Stone Smartt,TE,,,170.0,
Cameron Latu,TE,,,170.0,
Will Mallory,TE,,,170.0,
Brayden Willis,TE,,,170.0,
Julian Hill,TE,,,170.0,
Blake Whiteheart,TE,,,170.0,
Princeton Fant,TE,,,170.0,
Jared Wiley,TE,,,170.0,
Devin Culp,TE,,,170.0,
Jaheim Bell,TE,,,170.0,
Tanner McLachlan,TE,,,170.0,
Colson Yankoff,TE,,,170.0,
Brenden Bates,TE,,,170.0,
David Martin-Robinson,TE,,,170.0,
Cam Grandy,TE,,,170.0,
E.J. Jenkins,TE,,,170.0,
Gavin Bartholomew,TE,,,170.0,
Luke Lachey,TE,,,170.0,
Thomas Fidone II,TE,,,170.0,
Caleb Lohner,TE,,,170.0,
Moliki Matavao,TE,,,170.0,
Carter Runyon,TE,,,170.0,
Ben Yurosek,TE,,,170.0,
Treyton Welch,TE,,,170.0,
Keleki Latu,TE,,,170.0,
Nick Kallerup,TE,,,170.0,
Zaire Mitchell-Paden,TE,,,170.0,
Jackson Meeks,TE,,,170.0,
Hayden Rucci,TE,,,170.0,
Zach Horton,TE,,,170.0,
Drake Dabney,TE,,,170.0,
Jaren Kanak,TE,,,170.0,
Carsen Ryan,TE,,,170.0,
Jack Endries,TE,,,170.0,
Bauer Sharp,TE,,,170.0,
Seydou Traore,TE,,,170.0,
Dallen Bentley,TE,,,170.0,
Darren Waller,TE,,,170.0,
Jordan Akins,TE,,,170.0,
Eric Tomlinson,TE,,,170.0,
Anthony Firkser,TE,,,170.0,
Ross Dwelley,TE,,,170.0,
MyCole Pruitt,TE,,,170.0,
C.J. Uzomah,TE,,,170.0,
Taysom Hill,TE,,,170.0,
Jonnu Smith,TE,,,170.0,
Marcedes Lewis,TE,,,170.0,
Jordan Matthews,TE,,,170.0,
Gerald Everett,TE,,,170.0,
Hayden Hurst,TE,,,170.0,
Irv Smith Jr.,TE,,,170.0,
Will Dissly,TE,,,170.0,
Geoff Swaim,TE,,,170.0,
Zach Ertz,TE,,,170.0,
Tyree Jackson,TE,,,170.0,
Pharaoh Brown,TE,,,170.0,
Donald Parham Jr.,TE,,,170.0,
Harrison Bryant,TE,,,170.0,
Stephen Sullivan,TE,,,170.0,
Zach Davidson,TE,,,170.0,
Jody Fortson,TE,,,170.0,
Parker Hesse,TE,,,170.0,
Mitchell Wilcox,TE,,,170.0,
Giovanni Ricci,TE,,,170.0,
Tyler Mabry,TE,,,170.0,
John FitzPatrick,TE,,,170.0,
Nick Muse,TE,,,170.0,
Peyton Hendershot,TE,,,170.0,
Zack Kuntz,TE,,,170.0,
Tucker Fisk,TE,,,170.0,
Rodney Williams,TE,,,170.0,
Henry Pearson,TE,,,170.0,
Travis Vokolek,TE,,,170.0,
John Stephens Jr.,TE,,,170.0,
Dallin Holker,TE,,,170.0,
Thomas Odukoya,TE,,,170.0,
Baylor Cupp,TE,,,170.0,
Ja'Marr Chase,WR,3.4,3.1,4.6,4.0
Puka Nacua,WR,4.9,4.0,3.7,2.5
Jaxon Smith-Njigba,WR,5.4,5.5,5.7,5.2
