player_id,name,team,clay_rank,clay_ppr,clay_games,carries,rush_yds,rush_td,targets,rec,rec_yds,rec_td,clay_target_share,clay_targ_pct,clay_yards_share
00-0040154,Tai Felton,MIN,154,9,17,0,0,0,6,4,37,0,0.0108,0.01,0.0094
00-0040277,Jahdae Walker,CHI,155,9,17,0,0,0,5,3,36,0,0.0098,0.01,0.0091
00-0034386,Justin Watson,HOU,156,9,17,0,0,0,5,3,42,0,0.0092,0.01,0.0104
00-0040024,Darius Cooper,PHI,157,8,17,0,0,0,5,3,38,0,0.0103,0.01,0.0097
00-0039062,Jonathan Mingo,DAL,158,8,17,0,0,0,6,3,41,0,0.0106,0.01,0.0096
00-0032951,Laquon Treadwell,IND,159,8,17,0,0,0,5,4,37,0,0.0097,0.01,0.0096
00-0038840,Brycen Tremayne,CAR,160,8,17,0,0,0,5,3,37,0,0.0096,0.01,0.0097
00-0041070,Reggie Virgil,ARI,161,8,17,0,0,0,6,3,39,0,0.0106,0.01,0.01
00-0041397,Kaden Wetjen,PIT,162,8,17,2,12,0,3,2,19,0,0.0053,0.01,0.0048
00-0038979,Cedric Tillman,CLE,163,7,17,0,0,0,5,3,33,0,0.0098,0.01,0.0091
00-0039589,Kameron Johnson,TB,164,4,17,2,12,0,0,0,0,0,0.0,0.0,0.0
00-0040582,Arian Smith,NYJ,165,4,17,4,24,0,0,0,0,0,0.0,0.0,0.0
00-0034419,Braxton Berrios,NYG,166,2,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0038576,Charlie Jones,CIN,167,2,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0040506,Myles Price,MIN,168,2,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0040075,LaJohntay Wester,BAL,169,2,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0037132,Britain Covey,PHI,170,2,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0033857,JuJu Smith-Schuster,NYG,171,2,1,0,0,0,1,1,6,0,0.002,0.0,0.0016
00-0038519,Nikko Remigio,KC,172,1,17,0,0,0,0,0,0,0,0.0,0.0,0.0
